지점,일시,평균 이산화탄소(CO2) 배경대기농도(ppm),평균 메탄(CH4) 배경대기농도(ppm),평균 아산화질소(N2O) 배경대기농도(ppm),평균 염화불화탄소11(CFC11) 배경대기농도(ppm),평균 염화불화탄소12(CFC12) 배경대기농도(ppm),평균 염화불화탄소113(CFC113) 배경대기농도(ppm),평균 육불화황(SF6) 배경대기농도(ppm)
132,2013-11-16,,1943.5,,,,,8.9
132,2013-11-17,402.9,1918.9,,,,70.4,8.5
132,2013-11-18,403.8,1913.4,,,,70.2,8.2
132,2013-11-19,404.6,1918.7,,,,,8.2
132,2013-11-20,403.6,1916.4,,,,70.7,8.3
132,2013-11-21,404.6,1918.9,,,,,8.4
132,2013-11-22,405.8,1921.8,,,,69.7,8.3
132,2013-11-23,,1939.8,,,,,8.4
132,2013-11-24,,,,,,70.8,8.8
132,2013-11-25,,1938.2,,,,68.4,8.6
132,2013-12-07,,,,,,69.8,
132,2013-12-08,,,,,,74.8,
132,2013-12-10,,,,263.9,508.9,,
132,2013-12-13,,1931.1,,,,67.8,
132,2013-12-14,,1946.6,,,,73.1,
132,2013-12-15,,1935.1,,,,,
132,2013-12-16,,,,277.5,527.7,73.8,
132,2013-12-17,,,,,519.5,,
132,2013-12-18,,1978,,,507.2,73.8,
132,2013-12-19,405.6,1925.1,,280.4,519.4,,8.3
132,2013-12-20,,1963.4,,276.5,526.9,,8.5
132,2013-12-21,,1977.7,,273,524.7,,8.2
132,2013-12-22,,1920.1,,268.5,521.2,,8.3
132,2013-12-23,405,1913.7,,276.3,528.3,74.1,8.3
132,2013-12-24,,1930,,269.4,527,71,8.2
132,2013-12-25,,1939.1,,,,,
132,2013-12-26,,1961.9,,276.1,527.3,,8.3
132,2013-12-27,406.5,1932.5,,274.7,525.5,73.2,8
132,2013-12-28,406.4,1922.2,,275.6,527.1,73.3,8.3
132,2013-12-29,408.6,1946.6,,276.3,527.2,74.2,8.2
132,2013-12-30,,1978.3,,,526.5,73.9,8.8
132,2013-12-31,,,,291,528.8,72.1,8.9
132,2014-01-01,407.5,1931,,289,526.8,74.1,6.6
