지점,일시,평균 오존전량(DU)
132,2014-12-15,
132,2014-12-16,
132,2014-12-17,
132,2014-12-18,338.3
132,2014-12-19,321.9
132,2014-12-20,321
132,2014-12-21,373.2
132,2014-12-22,377.3
132,2014-12-23,322.3
132,2014-12-24,
132,2014-12-25,316.1
132,2014-12-26,322.7
132,2014-12-27,323.5
132,2014-12-28,281.5
132,2014-12-29,
132,2014-12-30,293.7
132,2014-12-31,345.3
132,2015-01-01,353.5
132,2015-01-02,363.4
132,2015-01-03,371.6
132,2015-01-04,338.1
132,2015-01-05,268.9
132,2015-01-06,280.2
132,2015-01-07,297.3
132,2015-01-08,305.2
132,2015-01-09,
132,2015-01-10,313.7
132,2015-01-11,331.3
132,2015-01-12,324.2
132,2015-01-13,302.8
132,2015-01-14,
132,2015-01-15,333.8
132,2015-01-16,
132,2015-01-17,327.6
132,2015-01-18,299.3
132,2015-01-19,306.4
132,2015-01-20,301.7
132,2015-01-21,
132,2015-01-22,371.1
132,2015-01-23,364.5
132,2015-01-24,347.8
132,2015-01-25,
132,2015-01-26,
132,2015-01-27,378.4
132,2015-01-28,376.1
132,2015-01-29,
132,2015-01-30,335.1
132,2015-01-31,313
132,2015-02-01,307.3
132,2015-02-02,344.4
132,2015-02-03,358.1
132,2015-02-04,
132,2015-02-05,469.5
132,2015-02-06,434.8
132,2015-02-07,385.8
132,2015-02-08,356.8
132,2015-02-09,405.6
132,2015-02-10,435.8
132,2015-02-11,406.9
132,2015-02-12,422.7
132,2015-02-13,428.9
132,2015-02-14,393.6
132,2015-02-15,359.5
132,2015-02-16,
132,2015-02-17,346
132,2015-02-18,361.4
132,2015-02-19,353.1
132,2015-02-20,327.6
132,2015-02-21,346.9
132,2015-02-22,354.3
132,2015-02-23,376.3
132,2015-02-24,415.8
132,2015-02-25,363.5
132,2015-02-26,397.3
132,2015-02-27,370.9
132,2015-02-28,324.5
132,2015-03-01,358.2
132,2015-03-02,398
132,2015-03-03,413.2
132,2015-03-04,376.2
132,2015-03-05,360.8
132,2015-03-06,333
132,2015-03-07,353
132,2015-03-08,354.2
132,2015-03-09,398.6
132,2015-03-10,413.8
132,2015-03-11,408.7
132,2015-03-12,447.5
132,2015-03-13,445.7
132,2015-03-14,377.9
132,2015-03-15,357
132,2015-03-16,381.2
132,2015-03-17,360
132,2015-03-18,
132,2015-03-19,325.6
132,2015-03-20,322.7
132,2015-03-21,357.2
132,2015-03-22,392.2
132,2015-03-23,397.9
132,2015-03-24,410.4
132,2015-03-25,388.6
132,2015-03-26,414.3
132,2015-03-27,416.7
132,2015-03-28,359.6
132,2015-03-29,379.1
132,2015-03-30,356.9
132,2015-03-31,
132,2015-04-01,327.3
132,2015-04-02,329.8
132,2015-04-03,337.6
132,2015-04-04,335.2
132,2015-04-05,
132,2015-04-06,321.1
132,2015-04-07,317.1
132,2015-04-08,334.6
132,2015-04-09,351.2
132,2015-04-10,343.6
132,2015-04-11,353.2
132,2015-04-12,332.7
132,2015-04-13,
132,2015-04-14,462.9
132,2015-04-15,396.7
132,2015-04-16,371.4
132,2015-04-17,380.8
132,2015-04-18,352.2
132,2015-04-19,
132,2015-04-20,317.5
132,2015-04-21,346.2
132,2015-04-22,400.8
132,2015-04-23,386.7
132,2015-04-24,394.7
132,2015-04-25,407.6
132,2015-04-26,388.1
132,2015-04-27,377.5
132,2015-04-28,369.9
132,2015-04-29,
132,2015-04-30,336.1
132,2015-05-01,308.6
132,2015-05-02,302.8
132,2015-05-03,307.8
132,2015-05-04,330.1
132,2015-05-05,348.9
132,2015-05-06,369.1
132,2015-05-07,387.4
132,2015-05-08,367.2
132,2015-05-09,368
132,2015-05-10,355.7
132,2015-05-11,338.1
132,2015-05-12,367.8
132,2015-05-13,374.2
132,2015-05-14,345.3
132,2015-05-15,323.5
132,2015-05-16,329.4
132,2015-05-17,327.9
132,2015-05-18,332.6
132,2015-05-19,376.4
132,2015-05-20,412.7
132,2015-05-21,339.5
132,2015-05-22,343.3
132,2015-05-23,334
132,2015-05-24,348.1
132,2015-05-25,341
132,2015-05-26,328.4
132,2015-05-27,325.3
132,2015-05-28,323.9
132,2015-05-29,300.9
132,2015-05-30,307.9
132,2015-05-31,333.1
132,2015-06-01,333.4
132,2015-06-02,326
132,2015-06-03,331.9
132,2015-06-04,323.7
132,2015-06-05,370.5
132,2015-06-06,374.8
132,2015-06-07,356.6
132,2015-06-08,326.1
132,2015-06-09,348.2
132,2015-06-10,332.9
132,2015-06-11,314.5
132,2015-06-12,354.5
132,2015-06-13,344.2
132,2015-06-14,373
132,2015-06-15,338.8
132,2015-06-16,331.4
132,2015-06-17,328.1
132,2015-06-18,325.2
132,2015-06-19,360.7
132,2015-06-20,392
132,2015-06-21,346
132,2015-06-22,349.9
132,2015-06-23,355.9
132,2015-06-24,323.6
132,2015-06-25,305.2
132,2015-06-26,317.5
132,2015-06-27,345
132,2015-06-28,331.6
132,2015-06-29,308.9
132,2015-06-30,298.5
132,2015-07-01,325.2
132,2015-07-02,349.7
132,2015-07-03,349.4
132,2015-07-04,351.3
132,2015-07-05,338.2
132,2015-07-06,324.4
132,2015-07-07,307.9
132,2015-07-08,306.4
132,2015-07-09,
132,2015-07-10,287.3
132,2015-07-11,277.5
132,2015-07-12,272.6
132,2015-07-13,319.3
132,2015-07-14,321.8
132,2015-07-15,325.2
132,2015-07-16,309.1
132,2015-07-17,295.3
132,2015-07-18,291.5
132,2015-07-19,300
132,2015-07-20,292.9
132,2015-07-21,297.1
132,2015-07-22,305
132,2015-07-23,295.8
132,2015-07-24,
132,2015-07-25,
132,2015-07-26,290.6
132,2015-07-27,
132,2015-07-28,304.4
132,2015-07-29,290.9
132,2015-07-30,289.9
132,2015-07-31,296.5
132,2015-08-01,299.2
132,2015-08-02,302
132,2015-08-03,299
132,2015-08-04,304.1
132,2015-08-05,300.8
132,2015-08-06,303.6
132,2015-08-07,298
132,2015-08-08,285.2
132,2015-08-09,286.1
132,2015-08-10,292
132,2015-08-11,305.3
132,2015-08-12,307.3
132,2015-08-13,313.6
132,2015-08-14,315.9
132,2015-08-15,310.9
132,2015-08-16,316.4
132,2015-08-17,318.6
132,2015-08-18,306.4
132,2015-08-19,297.4
132,2015-08-20,290
132,2015-08-21,301.2
132,2015-08-22,303.9
132,2015-08-23,311
132,2015-08-24,291.7
132,2015-08-25,277.8
132,2015-08-26,303.6
132,2015-08-27,308.2
132,2015-08-28,323.5
132,2015-08-29,317.1
132,2015-08-30,319.8
132,2015-08-31,319
132,2015-09-01,317.5
132,2015-09-02,309.8
132,2015-09-03,336.4
132,2015-09-04,321.2
132,2015-09-05,318.6
132,2015-09-06,323.3
132,2015-09-07,324.4
132,2015-09-08,312.6
132,2015-09-09,294.7
132,2015-09-10,291.4
132,2015-09-11,289.2
132,2015-09-12,306.6
132,2015-09-13,321.5
132,2015-09-14,321.6
132,2015-09-15,322.4
132,2015-09-16,312.5
132,2015-09-17,314.7
132,2015-09-18,304.4
132,2015-09-19,307.9
132,2015-09-20,299.1
132,2015-09-21,304
132,2015-09-22,318.2
132,2015-09-23,
132,2015-09-24,291.9
132,2015-09-25,295.3
132,2015-09-26,297.3
132,2015-09-27,296.5
132,2015-09-28,296
132,2015-09-29,279
132,2015-09-30,266.3
132,2015-10-01,288.8
132,2015-10-02,294.3
132,2015-10-03,301.7
132,2015-10-04,300.1
132,2015-10-05,305.4
132,2015-10-06,302.6
132,2015-10-07,288.5
132,2015-10-08,299.3
132,2015-10-09,318.1
132,2015-10-10,328.2
132,2015-10-11,326.6
132,2015-10-12,301.4
132,2015-10-13,302
132,2015-10-14,296
132,2015-10-15,296.9
132,2015-10-16,311.3
132,2015-10-17,283.8
132,2015-10-18,288.9
132,2015-10-19,289.6
132,2015-10-20,279
132,2015-10-21,283.9
132,2015-10-22,284.9
132,2015-10-23,273
132,2015-10-24,264.4
132,2015-10-25,266.9
132,2015-10-26,273
132,2015-10-27,300.3
132,2015-10-28,297.8
132,2015-10-29,305.6
132,2015-10-30,325.8
132,2015-10-31,320.7
132,2015-11-01,313
132,2015-11-02,332.5
132,2015-11-03,306.5
132,2015-11-04,293.3
132,2015-11-05,292.1
132,2015-11-06,283.7
132,2015-11-07,
132,2015-11-08,
132,2015-11-09,282.4
132,2015-11-10,304.3
132,2015-11-11,303.5
132,2015-11-12,297
132,2015-11-13,
132,2015-11-14,267.5
132,2015-11-15,280.6
132,2015-11-16,275.9
132,2015-11-17,282.2
132,2015-11-18,
132,2015-11-19,
132,2015-11-20,299
132,2015-11-21,305.8
132,2015-11-22,310.2
132,2015-11-23,308
132,2015-11-24,317.2
132,2015-11-25,322.6
132,2015-11-26,363.6
132,2015-11-27,
132,2015-11-28,360.1
132,2015-11-29,
132,2015-11-30,331.1
132,2015-12-01,343.3
132,2015-12-02,
132,2015-12-03,352
132,2015-12-04,346.8
132,2015-12-05,313.8
132,2015-12-06,304.3
132,2015-12-07,311.9
132,2015-12-08,306.7
132,2015-12-09,289.8
132,2015-12-10,
132,2015-12-11,337.7
132,2015-12-12,301.9
132,2015-12-13,311.6
132,2015-12-14,
132,2015-12-15,311.1
132,2015-12-16,314.2
132,2015-12-17,344.9
132,2015-12-18,320
132,2015-12-19,279.6
132,2015-12-20,265.8
132,2015-12-21,275.5
132,2015-12-22,272.7
132,2015-12-23,318.7
132,2015-12-24,322.8
132,2015-12-25,326.2
132,2015-12-26,313.7
132,2015-12-27,321.4
132,2015-12-28,335.7
132,2015-12-29,342
132,2015-12-30,343.9
132,2015-12-31,338.6
132,2016-01-01,316.5
132,2016-01-02,346.8
132,2016-01-03,333.7
132,2016-01-04,317.5
132,2016-01-05,315.3
132,2016-01-06,
132,2016-01-07,300.8
132,2016-01-08,341.2
132,2016-01-09,349.1
132,2016-01-10,351
